# BEGIN DATA
Process=pp -> e+e-j
Proc=eej
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2017-10-16 14:01:56
# END DATA

# BEGIN HISTO1D eej_pTV_LO
# xlow   xhigh   val   errminus  errplus
6.000000e+01 7.000000e+01 3.292556e+00 1.947257e-02 1.947257e-02
7.000000e+01 8.000000e+01 2.208918e+00 1.306949e-02 1.306949e-02
8.000000e+01 9.000000e+01 1.512995e+00 9.235043e-03 9.235043e-03
9.000000e+01 1.000000e+02 1.073643e+00 6.381429e-03 6.381429e-03
1.000000e+02 1.100000e+02 7.653243e-01 4.617027e-03 4.617027e-03
1.100000e+02 1.200000e+02 5.563406e-01 3.323004e-03 3.323004e-03
1.200000e+02 1.300000e+02 4.124020e-01 2.529904e-03 2.529904e-03
1.300000e+02 1.400000e+02 3.038949e-01 1.864694e-03 1.864694e-03
1.400000e+02 1.500000e+02 2.328354e-01 1.392746e-03 1.392746e-03
1.500000e+02 2.000000e+02 1.143843e-01 2.800741e-04 2.800741e-04
2.000000e+02 2.500000e+02 3.675893e-02 9.729426e-05 9.729426e-05
2.500000e+02 3.000000e+02 1.402900e-02 3.499235e-05 3.499235e-05
3.000000e+02 3.500000e+02 6.070082e-03 1.479682e-05 1.479682e-05
3.500000e+02 4.000000e+02 2.876509e-03 7.363131e-06 7.363131e-06
4.000000e+02 4.500000e+02 1.473964e-03 3.560079e-06 3.560079e-06
4.500000e+02 5.000000e+02 7.979541e-04 1.990695e-06 1.990695e-06
5.000000e+02 5.500000e+02 4.501406e-04 1.110105e-06 1.110105e-06
5.500000e+02 6.000000e+02 2.657850e-04 5.744767e-07 5.744767e-07
6.000000e+02 6.500000e+02 1.620936e-04 3.525089e-07 3.525089e-07
6.500000e+02 7.000000e+02 1.013076e-04 2.260557e-07 2.260557e-07
7.000000e+02 7.500000e+02 6.517101e-05 1.431084e-07 1.431084e-07
7.500000e+02 8.000000e+02 4.282192e-05 9.470972e-08 9.470972e-08
8.000000e+02 8.500000e+02 2.849437e-05 6.468089e-08 6.468089e-08
8.500000e+02 9.000000e+02 1.937452e-05 4.316585e-08 4.316585e-08
9.000000e+02 9.500000e+02 1.329883e-05 3.287347e-08 3.287347e-08
9.500000e+02 1.000000e+03 9.294479e-06 2.392070e-08 2.392070e-08
