name                                              b-only fit            s+b fit         rho
btag2016                                      ! +3.65, 0.62!     ! +3.60, 0.82!       -0.00
trig_e2016                                       +0.10, 0.68        +0.10, 0.97       -0.00
trig_met2016                                     +0.00, 0.63        -0.01, 0.88       +0.03
tt_norm                                       ! -1.72, 0.46!        -1.69, 0.55       -0.05
veto_tau2016                                     +0.32, 0.69        +0.29, 0.97       +0.04
vv_norm                                          -1.46, 0.61        -1.58, 0.82       +0.26
wecr2016failrecoil0_wjetsMC_mcstat_bin0          -0.41, 0.85        -0.42, 0.87       +0.00
wecr2016failrecoil0_wjetsMC_mcstat_bin1          +0.93, 0.85        +0.93, 0.87       +0.01
wecr2016failrecoil0_wjetsMC_mcstat_bin10         +0.42, 0.89        +0.41, 0.91       +0.00
wecr2016failrecoil0_wjetsMC_mcstat_bin2          -0.11, 0.86        -0.12, 0.88       +0.01
wecr2016failrecoil0_wjetsMC_mcstat_bin3          -0.38, 0.86        -0.38, 0.89       -0.01
wecr2016failrecoil0_wjetsMC_mcstat_bin4          -0.18, 0.87        -0.17, 0.90       -0.00
wecr2016failrecoil0_wjetsMC_mcstat_bin5          +0.08, 0.86        +0.08, 0.88       -0.00
wecr2016failrecoil0_wjetsMC_mcstat_bin6          +0.30, 0.85        +0.30, 0.87       +0.01
wecr2016failrecoil0_wjetsMC_mcstat_bin7          +0.33, 0.86        +0.33, 0.88       +0.00
wecr2016failrecoil0_wjetsMC_mcstat_bin8          -0.24, 0.86        -0.24, 0.89       +0.01
wecr2016failrecoil0_wjetsMC_mcstat_bin9          -0.25, 0.88        -0.25, 0.91       +0.01
wecr2016failrecoil1_wjetsMC_mcstat_bin0          +0.03, 0.87        +0.02, 0.89       +0.01
wecr2016failrecoil1_wjetsMC_mcstat_bin1          -0.20, 0.87        -0.20, 0.89       -0.00
wecr2016failrecoil1_wjetsMC_mcstat_bin10         -1.00, 0.89        -1.00, 0.91       -0.00
wecr2016failrecoil1_wjetsMC_mcstat_bin2          +0.29, 0.87        +0.29, 0.89       -0.00
wecr2016failrecoil1_wjetsMC_mcstat_bin3          -0.46, 0.88        -0.45, 0.90       -0.01
wecr2016failrecoil1_wjetsMC_mcstat_bin4          -0.33, 0.89        -0.32, 0.91       -0.01
wecr2016failrecoil1_wjetsMC_mcstat_bin5          +0.01, 0.88        +0.01, 0.90       -0.00
wecr2016failrecoil1_wjetsMC_mcstat_bin6          +0.03, 0.87        +0.03, 0.89       +0.00
wecr2016failrecoil1_wjetsMC_mcstat_bin7          +0.23, 0.87        +0.23, 0.89       +0.00
wecr2016failrecoil1_wjetsMC_mcstat_bin8          -0.36, 0.87        -0.36, 0.89       +0.00
wecr2016failrecoil1_wjetsMC_mcstat_bin9          +0.68, 0.88        +0.68, 0.90       -0.00
wecr2016failrecoil2_wjetsMC_mcstat_bin0          +0.55, 0.89        +0.55, 0.91       +0.01
wecr2016failrecoil2_wjetsMC_mcstat_bin1          -0.30, 0.90        -0.30, 0.92       +0.00
wecr2016failrecoil2_wjetsMC_mcstat_bin10         +0.33, 0.89        +0.33, 0.92       -0.00
wecr2016failrecoil2_wjetsMC_mcstat_bin2          +0.10, 0.89        +0.09, 0.91       +0.00
wecr2016failrecoil2_wjetsMC_mcstat_bin3          -0.65, 0.90        -0.64, 0.93       -0.00
wecr2016failrecoil2_wjetsMC_mcstat_bin5          +0.37, 0.89        +0.37, 0.92       -0.01
wecr2016failrecoil2_wjetsMC_mcstat_bin6          -0.61, 0.89        -0.62, 0.92       +0.00
wecr2016failrecoil2_wjetsMC_mcstat_bin7          -0.19, 0.89        -0.19, 0.92       +0.00
wecr2016failrecoil2_wjetsMC_mcstat_bin8          +0.13, 0.89        +0.13, 0.92       +0.00
wecr2016failrecoil2_wjetsMC_mcstat_bin9          -0.07, 0.89        -0.07, 0.92       -0.00
wecr2016failrecoil3_wjetsMC_mcstat_bin3          +0.47, 0.92        +0.48, 0.94       -0.01
wecr2016failrecoil3_wjetsMC_mcstat_bin4          -0.37, 0.94        -0.36, 0.97       -0.01
wecr2016failrecoil3_wjetsMC_mcstat_bin5          -0.43, 0.93        -0.43, 0.95       -0.00
wecr2016failrecoil3_wjetsMC_mcstat_bin7          -0.48, 0.92        -0.49, 0.95       +0.00
wecr2016failrecoil3_wjetsMC_mcstat_bin9          -0.36, 0.92        -0.36, 0.94       +0.00
wecr2016passrecoil0_wjetsMC_mcstat_bin0          +0.19, 0.86        +0.17, 0.88       +0.02
wecr2016passrecoil0_wjetsMC_mcstat_bin1          -0.27, 0.87        -0.28, 0.89       +0.01
wecr2016passrecoil0_wjetsMC_mcstat_bin2          -0.38, 0.91        -0.38, 0.93       +0.00
wecr2016passrecoil0_wjetsMC_mcstat_bin3          +0.36, 0.89        +0.36, 0.91       -0.00
wecr2016passrecoil0_wjetsMC_mcstat_bin5          -0.21, 0.90        -0.21, 0.92       -0.01
wecr2016passrecoil0_wjetsMC_mcstat_bin7          -0.52, 0.92        -0.53, 0.95       +0.00
wecr2016passrecoil0_wjetsMC_mcstat_bin8          -0.49, 0.95        -0.49, 0.97       +0.00
wecr2016passrecoil1_wjetsMC_mcstat_bin0          -0.35, 0.87        -0.35, 0.90       +0.01
wecr2016passrecoil1_wjetsMC_mcstat_bin1          -0.09, 0.87        -0.09, 0.89       +0.00
wecr2016passrecoil1_wjetsMC_mcstat_bin2          +0.52, 0.86        +0.52, 0.89       +0.00
wecr2016passrecoil1_wjetsMC_mcstat_bin3          +0.85, 0.88        +0.85, 0.91       -0.01
wecr2016passrecoil1_wjetsMC_mcstat_bin5          -0.39, 0.92        -0.38, 0.94       -0.01
wecr2016passrecoil1_wjetsMC_mcstat_bin6          +0.32, 0.90        +0.32, 0.92       +0.00
wecr2016passrecoil1_wjetsMC_mcstat_bin8          -0.47, 0.94        -0.47, 0.97       +0.00
wecr2016passrecoil1_wjetsMC_mcstat_bin9          -0.33, 0.94        -0.33, 0.97       +0.00
wecr2016passrecoil2_wjetsMC_mcstat_bin0          -0.67, 0.91        -0.66, 0.93       +0.00
wecr2016passrecoil2_wjetsMC_mcstat_bin1          +0.28, 0.89        +0.29, 0.91       +0.00
wecr2016passrecoil2_wjetsMC_mcstat_bin10         -0.67, 0.95        -0.67, 0.98       -0.00
wecr2016passrecoil2_wjetsMC_mcstat_bin4          -0.46, 0.93        -0.45, 0.95       -0.02
wecr2016passrecoil2_wjetsMC_mcstat_bin5          +0.42, 0.90        +0.43, 0.92       -0.02
wecr2016passrecoil2_wjetsMC_mcstat_bin6          +0.84, 0.88        +0.85, 0.91       -0.00
wecr2016passrecoil2_wjetsMC_mcstat_bin7          -0.95, 0.94        -0.95, 0.97       +0.00
wecr2016passrecoil2_wjetsMC_mcstat_bin9          -0.48, 0.95        -0.48, 0.97       -0.00
wecr2016passrecoil3_wjetsMC_mcstat_bin0          -0.43, 0.92        -0.43, 0.95       +0.00
wecr2016passrecoil3_wjetsMC_mcstat_bin1          +0.32, 0.90        +0.32, 0.93       -0.00
wecr2016passrecoil3_wjetsMC_mcstat_bin2          +0.57, 0.89        +0.57, 0.91       -0.00
wecr2016passrecoil3_wjetsMC_mcstat_bin5          -1.04, 0.96        -1.03, 0.99       -0.01
wecr2016passrecoil3_wjetsMC_mcstat_bin7          +0.58, 0.92        +0.58, 0.95       +0.00
whf_fraction                                     -0.30, 0.96        -0.28, 1.00       +0.02
wjets_norm                                    ! +1.66, 0.34!     ! +1.68, 0.44!       -0.02
wmcr2016failrecoil0_wjetsMC_mcstat_bin0          +0.34, 0.87        +0.33, 0.89       +0.01
wmcr2016failrecoil0_wjetsMC_mcstat_bin1          -0.39, 0.87        -0.40, 0.89       +0.01
wmcr2016failrecoil0_wjetsMC_mcstat_bin10         -0.05, 0.90        -0.05, 0.92       +0.01
wmcr2016failrecoil0_wjetsMC_mcstat_bin2          -0.85, 0.87        -0.86, 0.90       +0.01
wmcr2016failrecoil0_wjetsMC_mcstat_bin3          +0.48, 0.88        +0.49, 0.90       -0.01
wmcr2016failrecoil0_wjetsMC_mcstat_bin4          -0.46, 0.88        -0.45, 0.91       -0.01
wmcr2016failrecoil0_wjetsMC_mcstat_bin5          -0.64, 0.87        -0.64, 0.89       -0.01
wmcr2016failrecoil0_wjetsMC_mcstat_bin6          -0.60, 0.87        -0.60, 0.90       +0.01
wmcr2016failrecoil0_wjetsMC_mcstat_bin7          -1.31, 0.89        -1.31, 0.92       +0.00
wmcr2016failrecoil0_wjetsMC_mcstat_bin8          +0.40, 0.88        +0.39, 0.90       +0.01
wmcr2016failrecoil0_wjetsMC_mcstat_bin9          +0.19, 0.89        +0.18, 0.92       +0.01
wmcr2016failrecoil1_wjetsMC_mcstat_bin0          +0.82, 0.87        +0.81, 0.90       +0.01
wmcr2016failrecoil1_wjetsMC_mcstat_bin1          -0.45, 0.88        -0.45, 0.90       +0.00
wmcr2016failrecoil1_wjetsMC_mcstat_bin10         +0.46, 0.89        +0.46, 0.91       -0.00
wmcr2016failrecoil1_wjetsMC_mcstat_bin2          -0.16, 0.88        -0.16, 0.90       -0.00
wmcr2016failrecoil1_wjetsMC_mcstat_bin3          -0.01, 0.89        -0.01, 0.91       -0.01
wmcr2016failrecoil1_wjetsMC_mcstat_bin4          +0.95, 0.88        +0.96, 0.91       -0.02
wmcr2016failrecoil1_wjetsMC_mcstat_bin5          +0.49, 0.88        +0.49, 0.90       -0.00
wmcr2016failrecoil1_wjetsMC_mcstat_bin6          -0.27, 0.88        -0.27, 0.90       -0.00
wmcr2016failrecoil1_wjetsMC_mcstat_bin7          -0.33, 0.88        -0.33, 0.90       +0.01
wmcr2016failrecoil1_wjetsMC_mcstat_bin8          +0.78, 0.88        +0.78, 0.90       +0.00
wmcr2016failrecoil1_wjetsMC_mcstat_bin9          +0.40, 0.89        +0.40, 0.91       +0.00
wmcr2016failrecoil2_wjetsMC_mcstat_bin0          -0.02, 0.90        -0.02, 0.92       +0.00
wmcr2016failrecoil2_wjetsMC_mcstat_bin1          +0.13, 0.90        +0.13, 0.92       +0.00
wmcr2016failrecoil2_wjetsMC_mcstat_bin10         +0.36, 0.90        +0.36, 0.92       -0.00
wmcr2016failrecoil2_wjetsMC_mcstat_bin2          +0.58, 0.89        +0.58, 0.92       -0.01
wmcr2016failrecoil2_wjetsMC_mcstat_bin4          -0.46, 0.91        -0.45, 0.93       -0.02
wmcr2016failrecoil2_wjetsMC_mcstat_bin5          +0.22, 0.90        +0.23, 0.92       -0.01
wmcr2016failrecoil2_wjetsMC_mcstat_bin6          +0.40, 0.90        +0.40, 0.92       +0.00
wmcr2016failrecoil2_wjetsMC_mcstat_bin7          +0.28, 0.90        +0.28, 0.92       +0.00
wmcr2016failrecoil2_wjetsMC_mcstat_bin8          +0.15, 0.90        +0.15, 0.92       +0.00
wmcr2016failrecoil2_wjetsMC_mcstat_bin9          +0.11, 0.90        +0.11, 0.92       -0.00
wmcr2016failrecoil3_wjetsMC_mcstat_bin1          +0.44, 0.92        +0.44, 0.94       -0.00
wmcr2016failrecoil3_wjetsMC_mcstat_bin7          +0.40, 0.92        +0.40, 0.94       +0.00
wmcr2016failrecoil3_wjetsMC_mcstat_bin9          +0.50, 0.92        +0.50, 0.94       +0.00
